gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1783925007	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS460922580	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Glendhu Bay	Otago			e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.673473	169.01247							1996-07-01T00:00:00Z	1	7	1996	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD	OBS460922580				CC0_1_0		obsr450604			2019-11-14T00:57:00.137Z		COORDINATE_ROUNDED
1783920709	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS460922245	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Treble Cone	Otago		4	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.641359	168.923636							1996-06-29T00:00:00Z	29	6	1996	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD	OBS460922245				CC0_1_0		obsr450604			2019-11-14T01:06:47.178Z		COORDINATE_ROUNDED
1783872658	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS461331693	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Te Anau--Lake Foreshore	Southland		5	e2e717bf-551a-4917-bdc9-4fa0f342c530	-45.418644	167.710043							2002-10-25T00:00:00Z	25	10	2002	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD	OBS461331693				CC0_1_0		obsr845969			2019-11-14T00:57:06.643Z		COORDINATE_ROUNDED
1783800165	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS460115961	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Routeburn Shelter	Otago		2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.718219	168.27805							2016-03-14T00:00:00Z	14	3	2016	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD	OBS460115961				CC0_1_0		obsr825713			2019-11-14T01:06:19.436Z		
1783786027	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_NZ:OBS459933885	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Arthur's Pass store	Canterbury		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-42.939292	171.561582							2012-03-24T00:00:00Z	24	3	2012	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD_NZ	OBS459933885				CC0_1_0		obsr831437			2019-11-14T00:44:11.673Z		COORDINATE_ROUNDED
1783766238	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS460037940	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Selwyn District County, Canterbury, NZ	Canterbury		2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-42.940182	171.562023							2012-02-14T00:00:00Z	14	2	2012	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD	OBS460037940				CC0_1_0		obsr639223			2019-11-14T00:43:38.864Z		COORDINATE_ROUNDED
1783680519	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS459153758	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Fiordland NP--east Homer Tunnel	Southland			e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.7642	167.9869							2016-12-13T00:00:00Z	13	12	2016	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD	OBS459153758				CC0_1_0		obsr645203			2019-11-14T00:43:58.734Z		
1783438879	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS459046568	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Fiordland NP--east Homer Tunnel	Southland		8	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.7642	167.9869							2013-11-24T00:00:00Z	24	11	2013	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD	OBS459046568				CC0_1_0		obsr41159			2019-11-14T00:43:47.809Z		
1783253195	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS457302738	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Fiordland NP--east Homer Tunnel	Southland		4	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.7642	167.9869							2011-12-02T00:00:00Z	2	12	2011	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD	OBS457302738				CC0_1_0		obsr7948			2019-11-14T00:44:12.082Z		
1783242789	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS457129089	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Sinbad Gully	Southland		3	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.653207	167.880256							2011-11-29T00:00:00Z	29	11	2011	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD	OBS457129089				CC0_1_0		obsr7948			2019-11-14T00:43:38.639Z		COORDINATE_ROUNDED
1783095798	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS456460747	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Fiordland NP--Milford Sound (General)	Southland		2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.666909	167.915344							2004-12-15T00:00:00Z	15	12	2004	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD	OBS456460747				CC0_1_0		obsr647178			2019-11-14T00:50:01.539Z		
1783095270	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS456426753	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Coronet Peak Base Ski area	Otago		3	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.926516	168.736852							2004-07-01T00:00:00Z	1	7	2004	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD	OBS456426753				CC0_1_0		obsr647178			2019-11-14T00:55:43.840Z		COORDINATE_ROUNDED
1783092782	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS456470846	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Mt. Aspiring NP--Glacier Burn	Otago		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.824708	168.33252							2016-12-27T00:00:00Z	27	12	2016	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD	OBS456470846				CC0_1_0		obsr841655			2019-11-14T00:55:24.275Z		COORDINATE_ROUNDED
1783076490	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS456235033	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Fiordland NP--east Homer Tunnel	Southland			e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.7642	167.9869							1988-12-28T00:00:00Z	28	12	1988	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD	OBS456235033				CC0_1_0		obsr7948			2019-11-14T00:43:49.356Z		
1782815223	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_AU:OBS454980319	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Fiordland NP--The Chasm	Southland		2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.721732	167.948548							2014-02-05T00:00:00Z	5	2	2014	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD_AU	OBS454980319				CC0_1_0		obsr495954			2019-11-14T00:43:43.005Z		COORDINATE_ROUNDED
